"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","573.12859","573.12860","573.12862"
"leuS","","Leucine--tRNA ligase","3","3","1","5","68","","","","2582","2582","2582","573.12859_02273","573.12860_02329","573.12862_01346"
"kefC_1","","Glutathione-regulated potassium-efflux system protein KefC","3","3","1","4","173","","","","1865","1865","1865","573.12859_00797","573.12860_00951","573.12862_00547"
"group_4999","","hypothetical protein","3","3","1","3","88","","","","989","989","989","573.12859_00247","573.12860_02789","573.12862_02954"
"maoA","","Primary amine oxidase","3","3","1","1","285","","","","2267","2267","2267","573.12859_03105","573.12860_02626","573.12862_02365"
"group_5001","","hypothetical protein","3","3","1","8","26","","","","758","758","758","573.12859_03956","573.12860_03126","573.12862_03153"
"gap_1","","Glyceraldehyde-3-phosphate dehydrogenase","3","3","1","1","249","","","","998","998","998","573.12859_03070","573.12860_02661","573.12862_02330"
"hycE","","Formate hydrogenlyase subunit 5","3","3","1","2","32","","","","1709","1709","1709","573.12859_03434","573.12860_04326","573.12862_02760"
"hpaC","","4-hydroxyphenylacetate 3-monooxygenase reductase component","3","3","1","4","303","","","","512","512","512","573.12859_00680","573.12860_01078","573.12862_00674"
"ubiH","","2-octaprenyl-6-methoxyphenol hydroxylase","3","3","1","2","311","","","","1178","1178","1178","573.12859_04958","573.12860_01440","573.12862_00055"
"fucP_2","","L-fucose-proton symporter","3","3","1","1","66","","","","1334","1334","1334","573.12859_04360","573.12860_03483","573.12862_03420"
"group_5007","","hypothetical protein","3","3","1","1","2220","","","","818","818","818","573.12859_01997","573.12860_01937","573.12862_01730"
"fadH","","2,4-dienoyl-CoA reductase","3","3","1","2","519","","","","2021","2021","2021","573.12859_01442","573.12860_01803","573.12862_00279"
"nadA","","Quinolinate synthase A","3","3","1","1","849","","","","1043","1043","1043","573.12859_00335","573.12860_03098","573.12862_03125"
"yjfF","","Inner membrane ABC transporter permease protein YjfF","3","3","1","6","121","","","","998","998","998","573.12859_02464","573.12860_03951","573.12862_04006"
"fucO","","Lactaldehyde reductase","3","3","1","2","126","","","","1148","1148","1148","573.12859_03342","573.12860_02170","573.12862_02854"
"tamB","","Translocation and assembly module subunit TamB","3","3","1","6","112","","","","3776","3776","3776","573.12859_02455","573.12860_03960","573.12862_03997"
"licC_6","","Lichenan permease IIC component","3","3","1","6","146","","","","1352","1352","1352","573.12859_02489","573.12860_04565","573.12862_04296"
"group_5014","","Mono(2-hydroxyethyl) terephthalate hydrolase","3","3","1","8","112","","","","1760","1760","1760","573.12859_03923","573.12860_03159","573.12862_03186"
"group_5015","ulaA_2","Ascorbate-specific PTS system EIIC component","3","3","1","6","83","","","","1400","1400","1400","573.12859_02425","573.12860_03987","573.12862_03970"
"ansA","","L-asparaginase 1","3","3","1","1","1514","","","","1019","1019","1019","573.12859_02704","573.12860_04932","573.12862_04706"
"ssuD","","Alkanesulfonate monooxygenase","3","3","1","1","1286","","","","1145","1145","1145","573.12859_00548","573.12860_00193","573.12862_00901"
"nhoA","","Arylamine N-acetyltransferase","3","3","1","1","2585","","","","845","845","845","573.12859_01785","573.12860_01162","573.12862_02028"
"group_5019","","hypothetical protein","3","3","1","1","245","","","","1208","1208","1208","573.12859_03066","573.12860_02665","573.12862_02326"
"fdoG_1","","Formate dehydrogenase-O major subunit","3","3","1","10","89","","","","2414","2414","2414","573.12859_03724","573.12860_03646","573.12862_03631"
"fhlA","","Formate hydrogenlyase transcriptional activator","3","3","1","2","42","","","","2072","2072","2072","573.12859_03424","573.12860_04316","573.12862_02770"
"group_5022","","hypothetical protein","3","3","1","5","222","","","","305","305","305","573.12859_04662","573.12860_04794","573.12862_01207"
"lpxM","","Lipid A biosynthesis myristoyltransferase","3","3","1","1","2208","","","","974","974","974","573.12859_02009","573.12860_01949","573.12862_01742"
"ais","","Aconitate isomerase","3","3","1","1","2117","","","","806","806","806","573.12859_02100","573.12860_02039","573.12862_01833"
"yecD","","Isochorismatase family protein YecD","3","3","1","1","2219","","","","566","566","566","573.12859_01998","573.12860_01938","573.12862_01731"
"uvrC","","UvrABC system protein C","3","3","1","1","2246","","","","1832","1832","1832","573.12859_01968","573.12860_01908","573.12862_01701"
"dctD","","C4-dicarboxylate transport transcriptional regulatory protein DctD","3","3","1","1","87","","","","1250","1250","1250","573.12859_04850","573.12860_03503","573.12862_03441"
"oprM_2","","Outer membrane protein OprM","3","3","1","1","266","","","","1379","1379","1379","573.12859_03086","573.12860_02645","573.12862_02346"
"tig","","Trigger factor","3","3","1","1","592","","","","1298","1298","1298","573.12859_01121","573.12860_00730","573.12862_01055"
"rcsC_3","","Sensor histidine kinase RcsC","3","3","1","8","20","","","","2285","2285","2285","573.12859_03962","573.12860_03120","573.12862_03147"
"group_5031","","hypothetical protein","3","3","1","1","1563","","","","707","707","707","573.12859_02655","573.12860_02933","573.12862_03312"
"tdk","","Thymidine kinase","3","3","1","1","2839","","","","527","527","527","573.12859_02826","573.12860_03315","573.12862_02671"
"celA_2","","PTS system cellobiose-specific EIIB component","3","3","1","6","144","","","","308","308","308","573.12859_02487","573.12860_04567","573.12862_04294"
"fhuD","","Iron(3+)-hydroxamate-binding protein FhuD","3","3","1","4","48","","","","890","890","890","573.12859_00920","573.12860_03754","573.12862_03788"
"msrQ","","Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ","3","3","1","2","381","","","","608","608","608","573.12859_01575","573.12860_01658","573.12862_00424"
"group_5036","","hypothetical protein","3","3","1","3","43","","","","722","722","722","573.12859_00292","573.12860_02745","573.12862_02910"
"hscA","","Chaperone protein HscA","3","3","1","7","135","","","","1850","1850","1850","573.12859_03210","573.12860_02505","573.12862_02520"
"dcuR","","Transcriptional regulatory protein DcuR","3","3","1","1","200","","","","719","719","719","573.12859_03021","573.12860_04737","573.12862_02281"
"ybiU","","putative protein YbiU","3","3","1","1","946","","","","1265","1265","1265","573.12859_00434","573.12860_03003","573.12862_03030"
"hflK","","Modulator of FtsH protease HflK","3","3","1","6","69","","","","1262","1262","1262","573.12859_02411","573.12860_04001","573.12862_03956"
"metB","","Cystathionine gamma-synthase","3","3","1","10","28","","","","1160","1160","1160","573.12859_03773","573.12860_03691","573.12862_03586"
"group_5042","","hypothetical protein","3","3","1","1","83","","","","1181","1181","1181","573.12859_04854","573.12860_03499","573.12862_03437"
"glrK","","Sensor histidine kinase GlrK","3","3","1","7","158","","","","1421","1421","1421","573.12859_03187","573.12860_02528","573.12862_02543"
"pepA","","Cytosol aminopeptidase","3","3","1","6","166","","","","1511","1511","1511","573.12859_02509","573.12860_04545","573.12862_04316"
"cobQ","","Cobyric acid synthase","3","3","1","2","155","","","","1523","1523","1523","573.12859_03685","573.12860_02152","573.12862_04081"
"xanP_2","","Xanthine permease XanP","3","3","1","1","30","","","","1379","1379","1379","573.12859_04396","573.12860_03447","573.12862_03384"
"purF","","Amidophosphoribosyltransferase","3","3","1","1","1770","","","","1517","1517","1517","573.12859_03497","573.12860_00377","573.12862_01469"
"nagR","","HTH-type transcriptional repressor NagR","3","3","1","1","882","","","","725","725","725","573.12859_00370","573.12860_03067","573.12862_03094"
"tauB","","Taurine import ATP-binding protein TauB","3","3","1","1","505","","","","767","767","767","573.12859_01209","573.12860_00817","573.12862_00968"
"group_5050","","hypothetical protein","3","3","1","2","184","","","","491","491","491","573.12859_03656","573.12860_02123","573.12862_04052"
"benM_3","","HTH-type transcriptional regulator BenM","3","3","1","10","23","","","","908","908","908","573.12859_03778","573.12860_03696","573.12862_03581"
"carB","","Carbamoyl-phosphate synthase large chain","3","3","1","4","176","","","","3224","3224","3224","573.12859_00794","573.12860_00954","573.12862_00550"
"ydjF_1","","putative HTH-type transcriptional regulator YdjF","3","3","1","2","132","","","","710","710","710","573.12859_03336","573.12860_02164","573.12862_02860"
"opuE","","Osmoregulated proline transporter OpuE","3","3","1","4","322","","","","1487","1487","1487","573.12859_00698","573.12860_01060","573.12862_00656"
"dapL","","LL-diaminopimelate aminotransferase","3","3","1","1","316","","","","1175","1175","1175","573.12859_03135","573.12860_02596","573.12862_02395"
"tenA_1","","Aminopyrimidine aminohydrolase","3","3","1","1","93","","","","644","644","644","573.12859_04844","573.12860_03509","573.12862_03447"
"group_5057","","hypothetical protein","3","3","1","1","797","","","","1052","1052","1052","573.12859_02592","573.12860_04439","573.12862_03252"
"yfhM","","Alpha-2-macroglobulin","3","3","1","7","128","","","","4949","4949","4949","573.12859_03217","573.12860_02498","573.12862_02513"
"nepI_2","","Purine ribonucleoside efflux pump NepI","3","3","1","9","87","","","","1193","1193","1193","573.12859_03805","573.12860_03613","573.12862_03476"
"hemE","","Uroporphyrinogen decarboxylase","3","3","1","15","19","","","","1064","1064","1064","573.12859_04757","573.12860_04909","573.12862_04683"
"csbX_2","","Alpha-ketoglutarate permease","3","3","1","1","1933","","","","1277","1277","1277","573.12859_04180","573.12860_00538","573.12862_04555"
"nqrE","","Na(+)-translocating NADH-quinone reductase subunit E","3","3","1","1","425","","","","596","596","596","573.12859_01281","573.12860_04763","573.12862_04251"
"mtnC","","Enolase-phosphatase E1","3","3","1","5","99","","","","689","689","689","573.12859_02242","573.12860_02298","573.12862_01315"
"mdtD","","Putative multidrug resistance protein MdtD","3","3","1","1","1945","","","","1415","1415","1415","573.12859_04186","573.12860_00550","573.12862_04567"
"group_5065","","hypothetical protein","3","3","1","1","1070","","","","863","863","863","573.12859_04231","573.12860_04161","573.12862_03874"
"group_5066","","Endo-4-O-sulfatase","3","3","1","7","106","","","","1868","1868","1868","573.12859_03244","573.12860_02483","573.12862_02498"
"group_5067","","hypothetical protein","3","3","1","2","61","","","","2363","2363","2363","573.12859_03405","573.12860_04297","573.12862_02789"
"group_5068","","hypothetical protein","3","3","1","8","8","","","","434","434","434","573.12859_03974","573.12860_03108","573.12862_03135"
"efeU","","Ferrous iron permease EfeU","3","3","1","1","1359","","","","830","830","830","573.12859_00635","573.12860_00126","573.12862_00834"
"livF_2","","High-affinity branched-chain amino acid transport ATP-binding protein LivF","3","3","1","1","2123","","","","719","719","719","573.12859_02094","573.12860_02033","573.12862_01827"
"ligA","","DNA ligase","3","3","1","7","29","","","","2015","2015","2015","573.12859_03320","573.12860_02407","573.12862_02423"
"metN_3","","Methionine import ATP-binding protein MetN","3","3","1","2","120","","","","1022","1022","1022","573.12859_03348","573.12860_02176","573.12862_02848"
"group_5073","","hypothetical protein","3","3","1","7","144","","","","980","980","980","573.12859_03201","573.12860_02514","573.12862_02529"
"tauD","","Alpha-ketoglutarate-dependent taurine dioxygenase","3","3","1","1","507","","","","851","851","851","573.12859_01207","573.12860_00815","573.12862_00970"
"queF","","NADPH-dependent 7-cyano-7-deazaguanine reductase","3","3","1","2","111","","","","845","845","845","573.12859_03357","573.12860_02185","573.12862_02839"
"group_5076","","hypothetical protein","3","3","1","1","1366","","","","860","860","860","573.12859_00642","573.12860_00119","573.12862_00827"
"outO","","Type 4 prepilin-like proteins leader peptide-processing enzyme","3","3","1","4","67","","","","800","800","800","573.12859_00902","573.12860_03736","573.12862_03770"
"yafV","","Omega-amidase YafV","3","3","1","1","416","","","","770","770","770","573.12859_01290","573.12860_04754","573.12862_04260"
"group_5079","","hypothetical protein","3","3","1","3","184","","","","2051","2051","2051","573.12859_00152","573.12860_03852","573.12862_02227"
"garK_1","","Glycerate 2-kinase","3","3","1","2","491","","","","1145","1145","1145","573.12859_01470","573.12860_01776","573.12862_00306"
"group_5081","","hypothetical protein","3","3","1","3","316","","","","2078","2078","2078","573.12859_00020","573.12860_03341","573.12862_02096"
"yadV_3","","putative fimbrial chaperone YadV","3","3","1","5","225","","","","695","695","695","573.12859_04665","573.12860_04797","573.12862_01210"
"hisI","","Histidine biosynthesis bifunctional protein HisIE","3","3","1","1","2376","","","","599","599","599","573.12859_01892","573.12860_04883","573.12862_04747"
"group_5084","","hypothetical protein","3","3","1","4","261","","","","491","491","491","573.12859_00718","573.12860_01041","573.12862_00637"
"guaD_1","","Guanine deaminase","3","3","1","1","1738","","","","458","458","458","573.12859_04516","573.12860_00346","573.12862_01438"
"hisD","","Histidinol dehydrogenase","3","3","1","1","2370","","","","1304","1304","1304","573.12859_01898","573.12860_04877","573.12862_04741"
"mhpB","","2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase","3","3","1","1","2921","","","","944","944","944","573.12859_02908","573.12860_03233","573.12862_02589"
"thiC","","Phosphomethylpyrimidine synthase","3","3","1","15","22","","","","1895","1895","1895","573.12859_04754","573.12860_04912","573.12862_04686"
"cmpR_3","","HTH-type transcriptional activator CmpR","3","3","1","1","414","","","","881","881","881","573.12859_01292","573.12860_04752","573.12862_04262"
"iolD","","3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase","3","3","1","6","175","","","","1940","1940","1940","573.12859_02518","573.12860_05225","573.12862_04972"
"betI_2","","HTH-type transcriptional regulator BetI","3","3","1","5","270","","","","587","587","587","573.12859_02182","573.12860_02238","573.12862_01255"
"trmA","","tRNA/tmRNA (uracil-C(5))-methyltransferase","3","3","1","10","7","","","","1100","1100","1100","573.12859_03794","573.12860_03712","573.12862_03565"
"cca","","Multifunctional CCA protein","3","3","1","2","569","","","","1241","1241","1241","573.12859_01391","573.12860_01613","573.12862_00228"
"yebE","","Inner membrane protein YebE","3","3","1","1","2200","","","","659","659","659","573.12859_02017","573.12860_01957","573.12862_01750"
"group_5095","","hypothetical protein","3","3","1","2","90","","","","1046","1046","1046","573.12859_03378","573.12860_02206","573.12862_02818"
"group_5096","","hypothetical protein","3","3","1","7","143","","","","836","836","836","573.12859_03202","573.12860_02513","573.12862_02528"
"pdxJ","","Pyridoxine 5'-phosphate synthase","3","3","1","7","166","","","","731","731","731","573.12859_03179","573.12860_02536","573.12862_02551"
"rbsA_2","","Ribose import ATP-binding protein RbsA","3","3","1","5","279","","","","1544","1544","1544","573.12859_02191","573.12860_02247","573.12862_01264"
"ynhG","","putative L,D-transpeptidase YnhG","3","3","1","1","2907","","","","986","986","986","573.12859_02894","573.12860_03247","573.12862_02603"
"rbsC_8","","Ribose import permease protein RbsC","3","3","1","10","53","","","","1007","1007","1007","573.12859_03748","573.12860_03666","573.12862_03611"
"metN2","","Methionine import ATP-binding protein MetN 2","3","3","1","1","18","","","","791","791","791","573.12859_04408","573.12860_03435","573.12862_03372"
"axe1-6A","","Carbohydrate acetyl esterase/feruloyl esterase","3","3","1","9","34","","","","1166","1166","1166","573.12859_03858","573.12860_03560","573.12862_03529"
"mrcA","","Penicillin-binding protein 1A","3","3","1","3","293","","","","2558","2558","2558","573.12859_00043","573.12860_03364","573.12862_02119"
"erpA","","Iron-sulfur cluster insertion protein ErpA","3","3","1","4","44","","","","344","344","344","573.12859_00924","573.12860_03758","573.12862_03792"
"ispD","","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","3","3","1","2","83","","","","710","710","710","573.12859_03385","573.12860_02213","573.12862_02811"
"group_5106","","hypothetical protein","3","3","1","1","158","","","","386","386","386","573.12859_02980","573.12860_04694","573.12862_04886"
"recD","","RecBCD enzyme subunit RecD","3","3","1","2","199","","","","1844","1844","1844","573.12859_03641","573.12860_02108","573.12862_04037"
"plsY","","putative glycerol-3-phosphate acyltransferase","3","3","1","2","566","","","","617","617","617","573.12859_01394","573.12860_01616","573.12862_00231"
"ygiF","","Inorganic triphosphatase","3","3","1","2","571","","","","1298","1298","1298","573.12859_01389","573.12860_01611","573.12862_00226"
"ganB","","Arabinogalactan endo-beta-1,4-galactanase","3","3","1","1","624","","","","1202","1202","1202","573.12859_01089","573.12860_00698","573.12862_01087"
"alsC","","D-allose transport system permease protein AlsC","3","3","1","5","104","","","","989","989","989","573.12859_02237","573.12860_02293","573.12862_01310"
"amyA","","Cytoplasmic alpha-amylase","3","3","1","1","2254","","","","1487","1487","1487","573.12859_01960","573.12860_01900","573.12862_01693"
"fliY_3","","L-cystine-binding protein FliY","3","3","1","1","1068","","","","803","803","803","573.12859_04233","573.12860_04159","573.12862_03876"
"pduW","","putative propionate kinase","3","3","1","2","193","","","","1214","1214","1214","573.12859_03647","573.12860_02114","573.12862_04043"
"bioC","","Malonyl-[acyl-carrier protein] O-methyltransferase","3","3","1","1","890","","","","755","755","755","573.12859_00378","573.12860_03059","573.12862_03086"
"cdaR_1","","Carbohydrate diacid regulator","3","3","1","1","56","","","","1157","1157","1157","573.12859_04370","573.12860_03473","573.12862_03410"
"holB","","DNA polymerase III subunit delta'","3","3","1","1","1409","","","","1004","1004","1004","573.12859_04312","573.12860_00075","573.12862_00783"
"ltnD","","L-threonate dehydrogenase","3","3","1","24","3","","","","902","902","902","573.12859_05235","573.12860_05454","573.12862_05111"
"iutA","","Ferric aerobactin receptor","3","3","1","1","1420","","","","2189","2189","2189","573.12859_04301","573.12860_00064","573.12862_00772"
"pckA_1","","Phosphoenolpyruvate carboxykinase (ATP)","3","3","1","1","2121","","","","1643","1643","1643","573.12859_02096","573.12860_02035","573.12862_01829"
"udp","","Uridine phosphorylase","3","3","1","11","70","","","","761","761","761","573.12859_04084","573.12860_04275","573.12862_04133"
"yhdG","","putative amino acid permease YhdG","3","3","1","1","501","","","","1379","1379","1379","573.12859_01213","573.12860_00821","573.12862_00964"
"dcuD","","Putative cryptic C4-dicarboxylate transporter DcuD","3","3","1","5","88","","","","1373","1373","1373","573.12859_02253","573.12860_02309","573.12862_01326"
"rpsE","","30S ribosomal protein S5","3","3","1","14","36","","","","503","503","503","573.12859_04878","573.12860_05043","573.12862_04782"
"group_5125","","hypothetical protein","3","3","1","18","2","","","","959","959","959","573.12859_04990","573.12860_05157","573.12862_04899"
"pobA","","p-hydroxybenzoate hydroxylase","3","3","1","4","256","","","","1184","1184","1184","573.12859_00723","573.12860_01036","573.12862_00632"
"rcsD","","Phosphotransferase RcsD","3","3","1","1","1836","","","","2657","2657","2657","573.12859_03561","573.12860_00443","573.12862_01534"
"nrdD","","Anaerobic ribonucleoside-triphosphate reductase","3","3","1","6","142","","","","2138","2138","2138","573.12859_02485","573.12860_04569","573.12862_04292"
"group_5129","","hypothetical protein","3","3","1","6","158","","","","1418","1418","1418","573.12859_02501","573.12860_04553","573.12862_04308"
"usg","","USG-1 protein","3","3","1","1","1763","","","","1013","1013","1013","573.12859_03490","573.12860_00370","573.12862_01462"
"group_5131","","hypothetical protein","3","3","1","6","163","","","","503","503","503","573.12859_02506","573.12860_04548","573.12862_04313"
"group_5132","","hypothetical protein","3","3","1","6","129","","","","455","455","455","573.12859_02472","573.12860_04582","573.12862_04279"
"gluQ","","Glutamyl-Q tRNA(Asp) synthetase","3","3","1","4","72","","","","881","881","881","573.12859_00897","573.12860_03731","573.12862_03765"
"fruK","","Fructose import ATP-binding protein FruK","3","3","1","6","119","","","","1502","1502","1502","573.12859_02462","573.12860_03953","573.12862_04004"
"yhbE","","putative inner membrane transporter YhbE","3","3","1","2","440","","","","965","965","965","573.12859_01516","573.12860_01717","573.12862_00365"
"narH","","Respiratory nitrate reductase 1 beta chain","3","3","1","1","2828","","","","1535","1535","1535","573.12859_02813","573.12860_04497","573.12862_02684"
"mntB_4","","Manganese transport system membrane protein MntB","3","3","1","2","55","","","","854","854","854","573.12859_03411","573.12860_04303","573.12862_02783"
"creB","","Transcriptional regulatory protein CreB","3","3","1","4","221","","","","689","689","689","573.12859_00761","573.12860_00998","573.12862_00594"
"yybH","","putative protein YybH","3","3","1","7","39","","","","395","395","395","573.12859_03310","573.12860_02417","573.12862_02433"
"pduV","","Propanediol utilization protein PduV","3","3","1","2","192","","","","440","440","440","573.12859_03648","573.12860_02115","573.12862_04044"
"ansB","","L-asparaginase","3","3","1","1","1469","","","","1043","1043","1043","573.12859_02740","573.12860_00016","573.12862_00724"
"hipO_3","","Hippurate hydrolase","3","3","1","1","809","","","","1169","1169","1169","573.12859_02604","573.12860_04427","573.12862_03264"
"group_5143","","hypothetical protein","3","3","1","1","319","","","","911","911","911","573.12859_03138","573.12860_02593","573.12862_02398"
"cmoB","","tRNA U34 carboxymethyltransferase","3","3","1","1","2223","","","","1001","1004","1003","573.12859_01994","573.12860_01934","573.12862_01727"
"livH_2","","High-affinity branched-chain amino acid transport system permease protein LivH","3","3","1","1","2126","","","","914","914","914","573.12859_02091","573.12860_02030","573.12862_01824"
"group_5146","","hypothetical protein","3","3","1","1","2893","","","","986","995","989","573.12859_02880","573.12860_03261","573.12862_02617"
"eutL","","Ethanolamine utilization protein EutL","3","3","1","7","53","","","","659","659","659","573.12859_03296","573.12860_02431","573.12862_02447"
"bglH_2","","Cryptic outer membrane porin BglH","3","3","1","9","33","","","","1634","1634","1634","573.12859_03859","573.12860_03559","573.12862_03530"
"phnW","","2-aminoethylphosphonate--pyruvate transaminase","3","3","1","9","85","","","","1103","1103","1103","573.12859_03803","573.12860_03615","573.12862_03474"
"lplA","","Lipoate-protein ligase A","3","3","1","4","233","","","","1016","1016","1016","573.12859_00749","573.12860_01010","573.12862_00606"
"rffH","","Glucose-1-phosphate thymidylyltransferase 2","3","3","1","11","36","","","","881","881","881","573.12859_04122","573.12860_04237","573.12862_04095"
"phnI","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI","3","3","1","8","12","","","","1064","1064","1064","573.12859_03970","573.12860_03112","573.12862_03139"
"oxyR_1","","Hydrogen peroxide-inducible genes activator","3","3","1","1","1921","","","","914","914","914","573.12859_04168","573.12860_00526","573.12862_01617"
"ubiD","","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","3","3","1","11","8","","","","1466","1475","1472","573.12859_04074","573.12860_04285","573.12862_04143"
"ldcA","","Murein tetrapeptide carboxypeptidase","3","3","1","1","2143","","","","914","914","914","573.12859_02074","573.12860_02014","573.12862_01807"
"rhaD","","Rhamnulose-1-phosphate aldolase","3","3","1","10","50","","","","830","830","830","573.12859_03751","573.12860_03669","573.12862_03608"
"wzyE","","putative ECA polymerase","3","3","1","11","41","","","","1346","1346","1346","573.12859_04117","573.12860_04242","573.12862_04100"
"group_5158","","hypothetical protein","3","3","1","1","349","","","","689","689","689","573.12859_02562","573.12860_02563","573.12862_04944"
"slyA_2","","Transcriptional regulator SlyA","3","3","1","1","2686","","","","434","434","434","573.12859_01685","573.12860_01260","573.12862_01930"
"malS","","Periplasmic alpha-amylase","3","3","1","3","126","","","","2033","2033","2033","573.12859_00211","573.12860_02827","573.12862_02992"
"yecN","","Inner membrane protein YecN","3","3","1","1","2221","","","","395","395","395","573.12859_01996","573.12860_01936","573.12862_01729"
"coaBC","","Coenzyme A biosynthesis bifunctional protein CoaBC","3","3","1","3","80","","","","1217","1217","1217","573.12859_00255","573.12860_02781","573.12862_02946"
"igaA","","Intracellular growth attenuator protein igaA","3","3","1","3","291","","","","2129","2129","2129","573.12859_00045","573.12860_03366","573.12862_02121"
"tyrP","","Tyrosine-specific transport protein","3","3","1","1","2242","","","","1142","1142","1142","573.12859_01975","573.12860_01915","573.12862_01708"
"dgcP","","Diguanylate cyclase DgcP","3","3","1","1","1474","","","","1013","1013","1013","573.12859_02735","573.12860_00011","573.12862_00719"
"xerC_5","","Tyrosine recombinase XerC","3","3","1","1","2063","","","","740","740","740","573.12859_05085","573.12860_04645","573.12862_05006"
"group_5167","","hypothetical protein","3","3","1","3","57","","","","428","428","428","573.12859_00278","573.12860_02759","573.12862_02924"
"group_5168","","hypothetical protein","3","3","1","1","359","","","","491","491","491","573.12859_02565","573.12860_02560","573.12862_04947"
"group_5169","","hypothetical protein","3","3","1","9","74","","","","833","833","833","573.12859_03818","573.12860_03600","573.12862_03489"
"eutD","","Ethanolamine utilization protein EutD","3","3","1","7","64","","","","1016","1016","1016","573.12859_03286","573.12860_02442","573.12862_02457"
"ydiB_1","","Quinate/shikimate dehydrogenase","3","3","1","1","581","","","","821","821","821","573.12859_01132","573.12860_00741","573.12862_01044"
"araB_1","","Ribulokinase","3","3","1","4","155","","","","1709","1709","1709","573.12859_00815","573.12860_00933","573.12862_00529"
"der","","GTPase Der","3","3","1","7","119","","","","1478","1478","1478","573.12859_03226","573.12860_02489","573.12862_02504"
"ribZ_1","","Riboflavin transporter RibZ","3","3","1","2","286","","","","1388","1388","1388","573.12859_04788","573.12860_01414","573.12862_00029"
"phoP_2","","Virulence transcriptional regulatory protein PhoP","3","3","1","1","1952","","","","701","701","701","573.12859_04193","573.12860_00557","573.12862_04574"
"ada_1","","Bifunctional transcriptional activator/DNA repair enzyme Ada","3","3","1","1","1839","","","","1064","1064","1064","573.12859_03564","573.12860_00446","573.12862_01537"
"fepA_2","","Ferrienterobactin receptor","3","3","1","8","110","","","","2258","2258","2258","573.12859_03921","573.12860_03161","573.12862_03188"
"rsxC_2","","Ion-translocating oxidoreductase complex subunit C","3","3","1","2","189","","","","1352","1352","1352","573.12859_03651","573.12860_02118","573.12862_04047"
"dppB_1","","Dipeptide transport system permease protein DppB","3","3","1","5","265","","","","1022","1022","1022","573.12859_02177","573.12860_02233","573.12862_01250"
"gudP_3","","putative glucarate transporter","3","3","1","1","915","","","","1331","1331","1331","573.12859_00403","573.12860_03034","573.12862_03061"
"group_5181","","6-deoxy-6-sulfogluconolactonase","3","3","1","1","976","","","","872","872","872","573.12859_04427","573.12860_04637","573.12862_03842"
"pdxB","","Erythronate-4-phosphate dehydrogenase","3","3","1","1","1762","","","","1136","1136","1136","573.12859_03489","573.12860_00369","573.12862_01461"
"cirA","","Colicin I receptor","3","3","1","1","1880","","","","1973","1973","1973","573.12859_04642","573.12860_00487","573.12862_01578"
"fliY_2","","L-cystine-binding protein FliY","3","3","1","1","2451","","","","785","785","785","573.12859_04017","573.12860_04086","573.12862_03677"
"group_5185","","hypothetical protein","3","3","1","1","1055","","","","1094","1094","1094","573.12859_04245","573.12860_04147","573.12862_03888"
"yphB","","putative protein YphB","3","3","1","7","148","","","","833","833","833","573.12859_03197","573.12860_02518","573.12862_02533"
"hutH","","Histidine ammonia-lyase","3","3","1","1","884","","","","1526","1526","1526","573.12859_00372","573.12860_03065","573.12862_03092"
"group_5188","","3-mercaptopropionate dioxygenase","3","3","1","1","2929","","","","602","602","602","573.12859_02917","573.12860_03225","573.12862_02581"
"por_1","","Polyol:NADP oxidoreductase","3","3","1","1","1867","","","","1466","1466","1466","573.12859_03593","573.12860_00475","573.12862_01566"
"trmO","","tRNA (adenine(37)-N6)-methyltransferase","3","3","1","4","6","","","","707","707","707","573.12859_00962","573.12860_03796","573.12862_03830"
"creD","","Inner membrane protein CreD","3","3","1","4","219","","","","1358","1358","1358","573.12859_00763","573.12860_00996","573.12862_00592"
"malG_1","","Maltose/maltodextrin transport system permease protein MalG","3","3","1","1","623","","","","851","851","851","573.12859_01090","573.12860_00699","573.12862_01086"
"treR","","HTH-type transcriptional regulator TreR","3","3","1","6","149","","","","947","947","947","573.12859_02492","573.12860_04562","573.12862_04299"
"narJ","","Nitrate reductase molybdenum cofactor assembly chaperone NarJ","3","3","1","1","2829","","","","710","710","710","573.12859_02814","573.12860_04496","573.12862_02683"
"msbA_2","","Lipid A export ATP-binding/permease protein MsbA","3","3","1","1","1236","","","","1721","1721","1721","573.12859_00498","573.12860_00243","573.12862_04204"
"lon_1","","Lon protease","3","3","1","1","1298","","","","1757","1757","1757","573.12859_00560","573.12860_00181","573.12862_00889"
"mdaB","","NADPH:quinone oxidoreductase MdaB","3","3","1","2","588","","","","581","581","581","573.12859_01372","573.12860_01594","573.12862_00209"
"tus","","DNA replication terminus site-binding protein","3","3","1","1","233","","","","932","932","932","573.12859_03054","573.12860_02677","573.12862_02314"
"rafA","","Alpha-galactosidase","3","3","1","10","58","","","","2123","2123","2123","573.12859_03739","573.12860_03661","573.12862_03616"
